title,author,overview,subject
Apt Pupil,Stephen King,"#1 New York Times bestselling author Stephen King’s timeless coming-of-age novella, Apt Pupil—published in his 1982 story collection Different Seasons and made into a 1998 Tristar movie starring Ian McKellan and Brad Renfro—now available for the first time as a standalone publication.If you don’t believe in the existence of evil, you have a lot to learn. Todd Bowden is an apt pupil. Good grades, good family, a paper route. But he is about to meet a different kind of teacher, Mr. Dussander, and to learn all about Dussander’s dark and deadly past…a decades-old manhunt Dussander has escaped to this day. Yet Todd doesn’t want to turn his teacher in. Todd wants to know more. Much more. He is about to face his fears and learn the real meaning of power—and the seductive lure of evil. A classic story from Stephen King, Apt Pupil reveals layers upon layers of deception—and horror—as finally there is only one left standing.",Horror
Dark Angel (Casteel Series #2),V. C. Andrews,"A young woman struggles with her past and a future thrust upon her with threats coming from the past and now the present. Does she have the strength to withstand and grow? From #1 New York Times bestselling author and literary phenomenon V.C. Andrews (Flowers in the Attic, My Sweet Audrina).In her grandmother’s fine, labyrinthine Boston house, Heaven Leigh Casteel dreams of a wonderful new life of new friends, the best schools, beautiful clothes, and most important, love. She is determined to make the Casteel name respectable, find her long-lost brothers and sisters, and have a family again.  But even in the world of the wealthy, there are strange forebodings, secrets best forgotten. And as Heaven reaches out for love, she is slowly ensnared in a sinister web of cruel deceits and hidden passions.",Horror
Alpha and Omega: Cry Wolf: Volume One,Patricia Briggs,"Includes bonus material and a never-before-published version of issue #1!  Patricia Briggs, the #1 New York Times bestselling author of the Mercy Thompson novels, “always enchants her readers"" (Lynn Viehl). Now her Alpha and Omega series—set in a world of shifting shapes, loyalties, and passions—comes vividly to life in this collection of four comic books based on Cry Wolf, the first book in the series.  Anna never knew werewolves existed, until the night she survived a violent attack…and became one herself. After three years at the bottom of the pack, she’s learned to keep her head down and never, ever trust dominant males. Then Charles Cornick, the enforcer—and son—of the leader of the North American werewolves, came into her life.  Charles insists that not only is Anna his mate, but she is also a rare and valued Omega wolf. And it is Anna’s inner strength and calming presence that will prove invaluable as she and Charles go on the hunt in search of a rogue werewolf—a creature bound in magic so dark that it could threaten all the pack…",Horror
Alpha and Omega: Cry Wolf Volume Two,Patricia Briggs,"A world of shapeshifting wolves comes vividly to life in this collection of four comics based on Cry Wolf, the first book in Patricia Briggs’s #1 New York Times bestselling Alpha and Omega series. Charles and Anna are on the hunt for a rogue werewolf in the Montana mountains. The creature has morphed into something so dark that it kills everything in its path: deer, elk, grizzlies…humans. But the wolf is the creature of something far more powerful. One of Charles and Anna’s own pack harbors a centuries-old secret that has come back to haunt him—and wreak vengeance on those around him. Charles and Anna—unaware of the truth—are two innocents who stand in the way. But even as members of their pack rally around them, Anna’s rare power comes into its own—and is unleashed…",Horror
Greyfriars Reformatory,Frazer Lee,"""Greyfriars Reformatory delivers on suspense and a classic asylum setting that brings to mind novels like One Flew Over the Cuckoo’s Nest."" — Chicago Review of BooksNineteen year-old Emily's acute dissociative disorder causes her to be institutionalised - again - at Greyfriars Reformatory For Girls. Caught in the crossfire between brutal Principal Quick and cruel bully Saffron Chassay, Emily befriends fellow outcast Victoria. When the terrifying apparition of the mysterious ‘Grey Girl' begins scaring the inmates to death, Emily’s disorder may be the one thing that can save her. FLAME TREE PRESS is the new fiction imprint of Flame Tree Publishing. Launched in 2018 the list brings together brilliant new authors and the more established; the award winners, and exciting, original voices.",Horror
The Siren and The Specter,Jonathan Janz,"""Worth every bit of praise it has received so far, The Siren and the Specter should definitely be on your top 10 list of horror books."" — The Splatter GeistGoodreads Choice Award finalist for Best HorrorWhen David Caine, a celebrated skeptic of the supernatural, is invited by an old friend to spend a month in “the most haunted house in Virginia,” he believes the case will be like any other. But the Alexander House is different. Built by a 1700s land baron to contain the madness and depravity of his eldest son, the house is plagued by shadows of the past and the lingering taint of bloodshed. David is haunted, as well. For twenty-two years ago, he turned away the woman he loved, and she took her life in sorrow. And David suspects she’s followed him to the Alexander House. FLAME TREE PRESS is the new fiction imprint of Flame Tree Publishing. Launching in 2018 the list brings together brilliant new authors and the more established; the award winners, and exciting, original voices.",Horror
The Tommyknockers,Stephen King,"“Stephen King never stops giving us his all” (Chicago Tribune) in this #1 national bestseller about the idyllic small town of Haven, Maine, and its encounter with a deadly evil out for a diabolical invasion of body, soul—and mind.Something was happening in Bobbi Anderson’s idyllic small town of Haven, Maine. Something that gave every man, woman, and child in Haven powers far beyond those of ordinary mortals. Something that turned the town into a deathtrap for all outsiders. Something that is buried in the woods behind Bobbi’s house. With the help of her friend, Jim Gardener, they uncover an alien spaceship. And as they learn more about this strange discovery, the citizens of Haven begin to change: The townspeople are being welded into one organic, homicidal, and fearsomely brilliant entity in thrall to the Tommyknockers, who piloted the alien ship. In Tommyknockers, “Stephen King at his best” (San Francisco Chronicle), King has given us a “brilliant, riveting, marvelous” (The Boston Globe) novel. “You will not be able to put this down” (Los Angeles Times Book Review). And the next time someone raps at your door, you may want to keep the chain on. It just might be the Tommyknocker Man.",Horror
I Am Legend,Richard Matheson,"Winner of the Bram Stoker Lifetime Achievement Award for best vampire novel of the century: the genre-defining classic of horror sci-fi that inspired three films.   The population of the entire world has been obliterated by a pandemic of vampire bacteria. Yet somehow, Robert Neville survived. He must now struggle to make sense of what happened and learn to protect himself against the vampires who hunt him nightly.   As months of scavenging and hiding turn to years marked by depression and alcoholism, Robert spends his days hunting his tormentors and researching the cause of their affliction. But the more he discovers about the vampires around him, the more he sees the unsettling truth of who is—and who is not—a monster.   Richard Matheson’s I Am Legend has been a major influence on horror literature. In 2012, it was named the best vampire novel of the century by the Horror Writers Association and the Bram Stoker Estate. The novel was adapted to film in 1964 as The Last Man on Earth, in 1971 as Omega Man, and in 2007 as I am Legend, starring Will Smith.",Horror
The Charm School: A Novel,Susan Wiggs,"The Charm School by Susan Wiggs will be available Jul 27, 2021. Preorder your copy today!",Romance
Scar Wars,Elise Sax,"""Fans of laugh-out-loud romantic suspense will enjoy this author as she joins the ranks of Janet Evanovich, Katie MacAllister, and Jennifer Crusie.""—Booklist""Elise Sax will win your heart.""—New York Times bestselling author Jill ShalvisGladie and Spencer have the perfect marriage. Or do they? Lately, Spencer has been spending a lot of time with the sexy owner of a new pie shop in town. He also changed his cologne, and he's been giving his hair more attention than normal. Gladie is furious...and worried. When she's offered a chance at a major makeover from a local plastic surgeon, she decides to take it in order to give the sexy pie shop owner a run for her money. But before Gladie can get refreshed, the plastic surgeon winds up dead, and now Gladie has been swept up in the town's dangerous scar wars.Scar Wars is the third book in the Matchmaker Marriage Mysteries, the continuing adventures of Gladie Burger with all of the regular characters from the Matchmaker Mysteries. It's perfect for fans of Miss Fortune, Stephanie Plum, and small-town, funny mysteries.Matchmaker Marriage Mysteries...sometimes love comes with a few dead ends.""Sax will make you laugh. Her larger-than-life characters jump off the page and make crazy seem like a fun place to hang out.""—New York Times bestselling author Christie Craig""With quirky characters reminiscent of Janet Evanovich's Stephanie Plum series and a small-town heroine redolent of Charlaine Harris' Sookie Stackhouse"" --RT Book Reviews",Romance
A Woman to Treasure,Ali Vali,"Levi Montbard loves history and isn't afraid to search it out no matter where it takes her. A scroll she acquires to sell in Montbard's Antiquities in New Orleans leads Levi on an adventure that will take her from London to Morocco, by way of the Sahara Desert. A story of a female Templar Knight should sound like a hoax, but to Levi the new information rings true. Proving the scroll accurate becomes an obsession. She'll stop at nothing to uncover the truth.  Yasmine Hassani spends her days teaching female studies in Marrakech to women who want to leave a mark on their country. An arrogant Westerner storming into her office is highly unexpected and leaves Yasmine laughing off the absurdity of her claims. No one knows more about the history of the Templar Knights than Yasmine, and reluctantly intrigued, she agrees to help Levi. But their search turns down one dead end after another, almost as if someone is working hard to keep old secrets buried. They'll have to fight the Catholic Church, centuries of tradition, and their growing attraction for each other to uncover the mystery of the female Templar Knight.",Romance
Paws and Prejudice,Alanna Martin,"It's up to a trio of adorable rescue huskies to make two lonely hearts in a coastal Alaskan town realize that true love is worth too much to turn tail and run.Glaciers have nothing on Kelsey Porter when she decides to freeze someone out. After getting burned once, she's not about to let it happen again. And right now all that icy contempt is focused on one annoyingly attractive and entitled interloper: Ian Roth. Not only is he looking to take advantage of her quaint, coastal community, tainting the small-town charm of Helen, Alaska, but he has committed the one crime she can never forgive—he doesn't like her dogs.Unlike what Kelsey believes, Ian loves Helen's charms as much as she does. That's partly why he's determined to open a brewery there, and he's not about to let anything or anyone stop his dream from coming true. But he didn't count on the beautiful, prickly woman getting under his skin. Or having to be within hand-biting proximity of her three huge huskies.When Kelsey's family conscripts her into helping Ian get his brewery off the ground, she finds herself caught between a rock and a hard . . . muscular . . . man who has a fear of dogs. But the longer they work together, the more she can feel herself begin to thaw. Now she'll have to choose: let sleeping dogs lie to protect her heart, or mush head-on toward love.",Romance
Brown Clay,Isabel Villarreal,"Brown Clay is a collection of poems written from 2015 to the present day highlighting topics such as love, identity, trauma, self love, healing, sex, and relationships. Isabel Villarreal is a Black/Latina queer American poet and artist based in Portland, Oregon. Follow her words of empowerment with the intention of Black liberation and representation to enter a dreamscape of self discovery and acceptance. In this book, Bella explores the flow of cosmic energy in reclaiming freedom of expression as a Black queer woman and aims to understand herself, the world around her, and her experiences. Brown Clay explores the idea to be unapologetically Black and embrace the intersectionality of tangled roots in identity.",Romance
"The Spanish Rose (The Reckless Brides, Book 1)",Shirlee Busbee,"From the High Seas to the English and Spanish courts, two enemies test the bounds of passion, love, and truth in Shirlee Busbee's The Spanish Rose.-Caribbean High Seas, 1664-Gabriel Lancaster is her family's bitterest enemy...and now he stands before her, his magnificent body in chains, captured by her brother. But the moment Maria Delgato's triumphant gaze reaches Gabriel's burning emerald eyes, a new war ignites.From lush Caribbean estates to desperate sea battles, all the way to the glittering English and Spanish courts, Maria and Gabriel rage against each other and the one truth their hearts cannot deny...a truth which only passion can set free.Publisher Note: Shirlee Busbee's page-turning historical romance transports readers to a world of strong men, vibrant women, heart-stopping plot twists, and breathless passion that is not for the faint of heart.",Romance
Dreaming of the Wolf,Terry Spear,"A hot paranormal shifter romance full of action, adventure, mystery, and passion from USA Today bestselling author Terry Spear. Perfect for readers of Christine Feehan, Patricia Briggs, and Nalini Singh:Jake Silver has gotten himself into some trouble, and to appease the Silver Town pack leaders, he needs the money he can make selling his photography to local art galleries. When he spies a woman in town sneaking around and taking surreptitious photographs, his intrigue turns into wolfish protectiveness...Alicia Greiston is in a rut. She's determined to turn the town's notorious mobsters over to the police. This kind of work comes with a price—and not just the bounty money. But Jake is just too persuasive to stay away from, and against both their better judgments, she allows herself to be swept under his spell. He's sexy, alpha, and totally irresistible...This special edition includes a brand-new bonus novella and letter from the author!Praise for the Silver Town Wolf series:""Sensual, passionate and very well written... Terry Spear's writing is pure entertainment.""—The Long and Short of It Reviews for Wolf Fever""With non-stop action, thrilling suspense, danger, a beautiful setting, well-drawn characters, this story will keep readers guessing right up to the very satisfying ending.""—Romance Junkies for Silence of the Wolf""Terry Spear weaves paranormal, suspense, and romance together in one non-stop rollercoaster of passion and adventure.""—Love Romance Passion for Destiny of the Wolf",Romance
Remington,Kathi S. Barton,"Queen's Birds of Prey Series1.      Mercy2.      Blaze3.      Judith4.      Piper5.      Remington6.      EsmereldaRemington and her warrior sisters had been around for several millennia. Their time of fighting wars and conquering kingdoms was now a distant memory. Before Queen Dante passed, she'd graced her prized warriors—the falcon, hawk, eagle, phoenix, vulture, and owl—with humanity as well as immortality.Remi wasn't unhappy with her life. She was just bored.Harlin Tayler was working deep undercover, and he was thinking that hopefully, the case he was working on was about to come to an end. Sorrel was the worst sort of person, and Harlin was aiming to bring him to justice. But Sorrel wasn't human at all. He was a powerful fae.His case against Sorrel brought him to Remi, and from the moment they met, they both knew they were mates. Harlin also discovered that as a small child, his memory of who he really was had been erased for his own protection. Now that his memories had been restored, the cloak had been lifted, and they were all in danger. But with Remi by his side, they could face anything coming their way—he hoped....",Romance
Love in a Small Town: A Collection of Standalone Sweet Romances,Abby Tyler,"When your town is your family, finding love is all the sweeter.The first three standalone books in the Applebottom series is now available in one boxed set!•	A nice relaxing weekend read that will warm your heart, feed your soul. ~ I Dig Good Books•	Full of spunk and small town wit. ~ Incidentally Book BlogBOOK ONE: THE SWEETEST MATCH: A SECOND CHANCE ROMANCEShe hid secret messages in frosting, thinking no one would notice.When Sandy Miller emerges from her shack on the edge of town after eighteen years in isolation, she finds a job decorating cakes for a little shop on Town Square.But then everyone starts spotting secret words of love and longing on her cakes.Andrew McCallister is the first to admit that he never got over Sandy when she dropped out of high school and disappeared. But now she's back.He just has to get the guts to talk to her.When the town summons the pair to plan the school's centennial bash, Andrew and Sandy discover they are the only two members of the committee. As they attempt to rekindle the long-lost flame, Sandy realizes her messages must have been seen by the town.And love is even sweeter the second time around.BOOK TWO: THE PERFECT DISASTER: A PUPTASTIC ROMANTIC COMEDYHer giant pup drags her across town, right into the arms of the football coach.Ginny Page arrives in Applebottom with a problem -- a Great Dane she rescued three days before her big move.An untrained Great Dane that outweighs her by twenty pounds.When Roscoe trashes the doggie bakery on Town Square, the locals send their strong, single football coach to help Ginny tame her new addition.Carter McBride is a favored son despite his team's losing tradition. He got his heart broken on national television, and he's content to hide in Applebottom and underachieve himself into oblivion.Until Ginny. Her devotion to her students and this wild, crazy dog inspire him to be a better man. With the town's encouragement, Ginny and Carter learn that sometimes life's biggest setbacks can turn a disaster into the perfect match.BOOK THREE: THE IRRESISTIBLE SPARK: A FIREFIGHTER ROMANCEShe started the blaze. The firefighter fanned the flame.When Lorelei decides she's over that guy who ditched her a year ago, she dumps all the clothes, stuffed animals, notes, and mementos from the relationship on her front lawn. Then, she sets the pile ablaze.It feels great.Until it catches the grass on fire, too.Then the neighbors show up.And, of course, the volunteer fire department is called.Micah arrives on the scene and handily douses the blaze. But the fire he puts out sparks a new one in his heart when he realizes this feisty woman with a zeal for life might be exactly what he's been looking for.",Romance
Thrust,Rachel Spangler,"Fencing prodigy Jess Kidman has always been ahead of her peers. At the age of thirteen she made the varsity team, won a state championship, came out, and fell head over heels in love with her team captain, Lauren Standish.  After being gently rebuffed by the high school senior, young Jess vowed she would return for her some day when their age difference became irrelevant and her own accomplishments made her not merely an equal, but an Olympian. Ten years later, Jess makes good on her promise, but when she arrives back in Buffalo a few months before the big games, she's intrigued to find that the woman she's always dreamed of could also be exactly the coach she needs to win gold.  Lauren, however, isn't the bubbly team captain she'd been at eighteen. After a stellar collegiate career of her own, circumstances forced her to put her dreams on the shelf and return to Buffalo. She'd made peace with a quiet life spent running a rust belt fencing club and coaching kids when Team USA's hottest young fencer waltzes back into her life. As much as Lauren finds Jess's confidence and athleticism alluring, she also sees the hotheaded superstar as a threat to the carefully controlled world rebuilt in the wake of the traumatic loss she is desperate to avoid reliving. Never one to turn her back on a friend in need, Lauren agrees to coach Jess on the condition that they focus only on the swordplay and not the sharp point of attraction threatening to sever the bonds of her professionalism.  The two women set to work preparing for the biggest event,but as tension mounts in the lead-up to the Olympic Games, the pressure and the passion building between them also grows, leaving both to wonder if Jess is trying to win the gold, or win the girl.",Romance
Strength in Measure,LaKaysha Stenersen,"Katie Tucker, newly married and excited for her new lifeCole Hayes, grieving and bitter, but determined to carry the weight of his familyNolan Hayes, hurt and silent, and struggling to become a man in a lonely worldThese are just a few characters that make up the colorful people of Elk Valley, Oregon. The Hayes clan had survived the Great Depression along with every other family in the Valley.  Life was beautiful, despite the hardships and they had known there was nothing they could not endure with God's grace. But when tragedy strikes once again, it's going to take every ounce of strength to keep the family from falling apart.A story of faith, love and loss during the Second World War",Romance
The View Was Exhausting,Mikaella Clements,"“A pure delight! Effortlessly cool, razor sharp, and crazy fun—I couldn’t put it down.”—Taylor Jenkins Reid, New York Times bestselling authors of Daisy Jones & the Six ""The complex, Hollywood love story we've all been waiting for—I couldn't get enough.""—Emily Henry, #1 New York Times bestselling author of People We Meet on Vacation Faking a love story is a whole lot easier than being in love . . .The world can see that international A-list actress Whitman (""Win"") Tagore and jet-setting playboy Leo Milanowski are made for each other. Their kisses start Twitter trends and their fights break the internet. From red carpet appearances to Met Gala mishaps, their on-again, off-again romance has titillated the public and the press for almost a decade. But it's all a lie.As a woman of color, Win knows the Hollywood deck is stacked against her, so she's perfected the art of controlling her public persona. Whenever she nears scandal, she calls in Leo, with his endearingly reckless attitude, for a staged date. Each public display of affection shifts the headlines back in Win's favor, and Leo uses the good press to draw attention away from his dysfunctional family.Pretending to be in a passionate romance is one thing, but Win knows that a real relationship would lead to nothing but trouble. So instead they settle for friendship, with a side of sky-rocketing chemistry. Except this time, on the French Riviera, something is off. A shocking secret in Leo's past sets Win's personal and professional lives on a catastrophic collision course. Behind the scenes of their yacht-trips and PDA, the world's favorite couple is at each other's throats. Now they must finally confront the many truths and lies of their relationship, and Win is forced to consider what is more important: a rising career, or a risky shot at real love?The View Was Exhausting is a funny, wickedly observant modern love story set against the backdrop of exotic locales and the realities of being a woman of color in a world run by men.",Romance
What She Wants,Lynsay Sands,"A brand-new look for this beloved novel by New York Times and USA Today bestselling author of HUNTING FOR A HIGHLANDER and LOVE IS BLIND...Earl Hugh Dulonget of Hillcrest was a formidable knight, used to getting what he wanted. This time, he got himself into a bind. His uncle’s will had a codicil: He must marry. And Hugh had just insulted his would-be bride by calling her a peasant! How could he win back her esteem—and her hand? Everyone seemed to have advice. Some men-at-arms thought that Hugh could win the fair Willa’s love by buying her baubles. The old witch who was her guardian wanted Hugh to crawl back on his belly. And his castle priest proffered De Secretis Mulierum, a book on the secrets of women. But Hugh had ideas of his own. Hugh would overcome every hindrance—and all his friends’ help—to show Willa that he had not only what she needed, but what she wanted. And that the two of them were meant for a lifetime of happiness.",Romance
Bad News Cowboy,Maisey Yates,"Can the bad boy of Copper Ridge, Oregon, make good—and win the rodeo girl of his dreams? Find out in this gripping Western romance by New York Times bestselling author Maisey Yates!Kate Garrett keeps life simple—working hard, riding her beloved horses, playing cards with her brothers. Lately, though, she feels a bit restless, especially when family friend Jack Monaghan is around. Sexy and shameless, Jack is the kind of trouble you don't tangle with unless you want your heart broken. Still, Kate could always use his help in learning how to lasso someone a little less high risk… Jack can't pinpoint the moment the Garrett brothers' little sister suddenly stopped seeming so…little. Now here he is, giving flirting tips to the one woman who needs zero help turning him on. Love's a game he's never wanted to play. But he'll have to hurry up and learn how before the best thing that ever entered his life rides right back out again…Previously published.",Romance
"The Girl with Stars in Her Eyes: A story of love, loss, and rock-and-roll",Xio Axelrod,"* MOST ANTICIPATED: Buzzfeed, Goodreads, Country Living, Bookish, Frolic, and more! *A Star is Born meets Daisy Jones and the Six by way of Colleen Hoover in this unique story following an all-female band on the brink of breaking out. This diverse cast of characters play hard and love harder...no matter the ultimate price.""Sharp, propulsive, and sexy. Once I started, I couldn't put it down. Antonia and Seb are imprinted in my book-loving heart. I genuinely, truly, relished this book.""—CHRISTINA LAUREN, NYT and #1 International Bestselling AuthorGrowing up in dive bars up and down the East Coast, Toni Bennette's guitar was her only companion...until she met Sebastian Quick. Seb was a little older, a lot wiser, and before long he was Toni's way out, promising they'd escape their stifling small town together. Then Seb turned eighteen and split without looking back.Now, Toni's all grown up and making a name for herself in Philadelphia's indie scene. When a friend suggests she try out for a hot new up-and-coming band, Toni decides to take a chance. Strong, feminist, and fierce as fire, Toni B. and the Lillys are the perfect match...except Seb's now moonlighting as their manager. Whatever. Toni can handle it. No problem. Or it wouldn't be if Seb didn't still hold a piece of her heart...not to mention the key to her future.""Fans of Daisy Jones & the Six will enjoy this rich, romantic novel.""—Booklist",Romance
Zulir Warrior Mates Volume One: Fated Mate Alien Romance,Kate Rudolph,"Human heroines are ready to fight back against their alien abductors alongside their mates in the Zulir Warrior Mates bundle!Synnr's SaintEmily was a normal law student until she was abducted by aliens. Forced to perform death defying feats by night and undergoing medical tests by day, she doesn't know how much longer she can take it. When one alien takes particular interest in her she's afraid things have gone from bad to worse. He's got wings and fangs, and he makes her heart pound. But she can't want an alien like that... can she?Synnr's HopeWhen Lena and Solan fail to gel as a unit, they're sent off to intensive training in the middle of nowhere. Just Solan, Lena, and a house determined to hone them into the best team they can be. When sparks start flying, there's nothing to stop the two of them from crashing together with explosive heat.Synnr's SparkGrace has never quite fit in. One hundred percent human, but raised by a Synnr father and human mother, she has a foot in two worlds and belongs in neither. A Synnr Match would give her the wings she desperately wants, so why has a human man caught her eye? She's caught between Zac, a human man rescued from enemy Apsyns and their evil experiments, and Crowze, an aristocratic Synnr soldier built for seduction. There's no way she can choose between them. So why not choose both?",Romance
The Last Letter from Your Lover (Movie Tie-In): A Novel,Jojo Moyes,"Now a major motion picture streaming on Netflix starring Felicity Jones, Shailene Woodley, Callum Turner, Nabhaan Rizwan and Joe Alwyn  From the #1 New York Times bestselling author of The Giver of Stars, a sophisticated, page-turning double love story spanning forty years  It is 1960. When Jennifer Stirling wakes up in the hospital, she can remember nothing—not the tragic car accident that put her there, not her husband, not even who she is. She feels like a stranger in her own life until she stumbles upon an impassioned letter, signed simply ""B,"" asking her to leave her husband. Years later, in 2003, a journalist named Ellie discovers the same enigmatic letter in a forgotten file in her newspaper's archives. She becomes obsessed by the story and hopeful that it can resurrect her faltering career. Perhaps if these lovers had a happy ending she will find one to her own complicated love life, too. Ellie's search will rewrite history and help her see the truth about her own modern romance. A spellbinding, intoxicating love story with a knockout ending, The Last Letter from Your Lover will appeal to the readers who have made One Day and The Guernsey Literary and Potato Peel Pie Society bestsellers.",Romance
The Summer of Sunshine and Margot: A Novel,Susan Mallery,"The Baxter sisters come from a long line of women with disastrous luck in love. But this summer, Sunshine and Margot will turn disasters into destiny…As an etiquette coach, Margot teaches her clients to fit in. But she’s never faced a client like Bianca, an aging movie star who gained fame—and notoriety—through a campaign of shock and awe. Schooling Bianca on the fine art of behaving like a proper diplomat’s wife requires intensive lessons, forcing Margot to move into the monastery turned mansion owned by the actress’s intensely private son. Like his incredible home, Alec’s stony exterior hides secret depths Margot would love to explore. But will he trust her enough to let her in?Sunshine has always been the good-time sister, abandoning jobs to chase after guys who used her, then threw her away. No more. She refuses to be “that girl” again. This time, she’ll finish college, dedicate herself to her job as a nanny, and she 100 percent will not screw up her life again by falling for the wrong guy. Especially not the tempting single dad who also happens to be her boss.Master storyteller Susan Mallery weaves threads of family drama, humor, romance and a wish-you-were-there setting into one of the most satisfying books of the year!Don’t miss Susan Mallery’s latest book, The Stepsisters! A heartfelt tale of friendship between two women who used to be sisters.",Romance
Things We Never Said,Samantha Young,"Local metalsmith and gift shop owner, Dahlia McGuire, likes her quiet life in Hartwell, Delaware. It's the perfect place to hide from her family and the tragic events that led to their estrangement. However, when her father, the person she loves most in the world, needs her Dahlia has no choice but to return to Boston to face her ghosts. One of those happens to be her ex-boyfriend's best friend, Michael Sullivan. The man she was never supposed to fall in love with.Michael Sullivan has never forgotten Dahlia McGuire. Some might say he's never gotten over her. For years he lived with the anger of her desertion, and now, newly-divorced, he's finally ready to move on. That proves impossible when Dahlia returns to Boston and reawakens their explosive connection. Despite everything, Michael wants her back, but Dahlia can't seem to let go of the tangled emotions of the past. When she flees home to Hartwell, Michael follows, determined to do everything in his power to convince her they belong together.However, when the unthinkable hits the quiet seaside town, Michael finds himself trying to unravel more than the mystery of Dahlia's broken heart. It's time for truths left unsaid to finally be spoken or Michael and Dahlia might find themselves torn apart forever...",Romance
Savage Martians: Books 1 - 3,Sue Mercury,"The savage alien warriors need human mates.Twenty years ago, the Marttiaxoxalians conquered Earth. Though most of the ""Martians"" reside on terraformed Mars, mankind still lives under the rule of the powerful aliens. Life on Earth hasn't been easy since the war, and desperate human women are sometimes forced to become mail order brides to the Martians, just to save a family member from debtors' prison or to escape a bad situation on Earth. But is it possible to find happiness with one of the muscular horned aliens?This smoking hot collection of sci-fi romances includes books 1 – 3 in the Savage Martians series.Featuring:Royal Alien MatePossessive Alien MateRavenous Alien Mate",Romance
The Villa,Nora Roberts,"#1 New York Times bestselling author Nora Roberts exposes a proud family’s deadly secrets in this passionate tale of two Napa Valley rivals...PR executive Sophia Giambelli loves her job and has never worried about competition. For three generations, her family’s wines have been world-renowned for their quality. But things are about to change at Villa Giambelli. Tereza, the matriarch, has announced a merger with the MacMillan family’s winery—and Sophia will be assuming a new role. As a savvy businesswoman, Sophia knows she must be prepared for anything...but she isn’t prepared for Tyler MacMillan. They’ve been ordered to work together very closely, to facilitate the merger. Sophia must teach Ty the finer points of marketing—and Ty, in turn, shows her how to get down and dirty, to use the sun, rain, and earth to coax the sweetest grapes from the vineyard.   As they toil together, both in and out of the fields, Sophia is torn between a powerful attraction and a professional rivalry. At the end of the season, the course of the company’s future—and the legacy of the villa—may take an entirely new direction. And when acts of sabotage threaten both the family business and the family itself, Sophia’s quest will be not only for dominance, but also for survival.",Romance
Her Consigliere,Carsen Taite,"Attorney Siobhan Collins's life has been shrouded in mystery from the moment she was born, but she is certain of one thing—she owes her life and everything she has achieved to the Mancuso family, and she has pledged to protect their interests at any cost. Her loyalty will be put to the test when she learns the woman who has stolen her heart is determined to destroy the only world she has ever known. FBI agent Royal Scott is ready to ditch working undercover and figure out how to live in the real world, but her boss convinces her to take one more assignment pretending to be someone she's not. Her one goal—infiltrate the Mancuso family's illegal empire and find a way to bring them down. But when she becomes captivated by Siobhan Collins, the elusive counselor to Don Mancuso, she may be the one taking the fall.Advance praise from Publishers Weekly: ""With this sexy lesbian romance take on the mobster genre, Taite brings savvy, confidence, and glamour to the forefront without leaning into violence...Taite's protagonists ooze competence and boldness, with strong female secondary characters...This is sure to please.""—Publishers Weekly, 4/29/2021",Romance
A Fate of Wrath &amp; Flame,K. A. Tucker,"She would know the world of vengeful gods and monsters, and the lengths one would go for love. And nothing would ever be the same for her again.Gifted thief Romeria has flourished from her days as a street kid pilfering wallets to survive. Now she thrives, stealing jewels from the rich under the involuntary employ of New York City's most notorious crime boss. But when an enigmatic woman secures her services at swordpoint, Romeria is plunged into a startling realm of opposing thrones, warring elven, and elemental magic she cannot begin to fathom.Her quest is straightforward: Steal a stone from Islor's sacred garden without anyone discovering her true identity, which would earn her certain death. But the identity she has inexplicably assumed is that of the captured Ybarisan princess—an enemy to Islor after she poisoned their beloved king and queen on the day she was to marry the prince.Her betrothed, the newly crowned King Zander, detests her with every grain of his handsome being. Fortunately for Romeria, she is more valuable to him alive than dead. Zander gives her a choice: life in a cell, or an acquittal of all charges in exchange for her help in exposing the growing plot against him.Romeria sees no other option and embraces the tricky role of smitten queen-to-be until she can escape, a ruse that brings her far closer to the king than she anticipated and threatens more than her safety. As she digs deeper into this sacred garden and the ancient feud between Ybaris and Islor, she discovers monstrous truths that could spell ruin for all.",Romance
Tho I Be Mute,Heather Miller,"In 1856, Clarinda Ridge has returned to her Cherokee home. Through a night's torrential storm, she reads her parent's love story, authored by her own hand.Her father, Cherokee, John Ridge, attends the Foreign Mission School, a Connecticut academy for intelligent Indians in 1818. Because of recurring illness, he meets the steward's daughter, Sarah, who nurses him. Despite her pious parents and the protests of Cornwall's residents, the two fall in love and marry in 1824.Bringing his bride home to the Appalachians, John, now a lawyer and member of the Cherokee Legislative Council, intercedes against the U.S. government's Indian Agents to prevent the removal of neighboring Creek Nation in an attempt to build sovereignty for his own people.Sarah, leaves the hamlet of Cornwall, Connecticut to make a home in a culture foreign to her. She befriends Honey, half-Cherokee and half-slave, belonging to the Ridge family. Pregnant with their first child, Sarah faces captivity from white squatters, trades her freedom for Honey's life, and inadvertently, forces John to abandon his adopted white culture and return to his Cherokee heritage to find her and bring her home.",Romance
